page,url,role,tier,parentHub,relatedPages,commercialPages,incomingCount,outgoingCount,incomingFrom
terms,/terms/,static,,,,,0,4,
waking-at-night,/waking-at-night/,hub,,,waking-at-night/cant-get-back-to-sleep; waking-at-night/waking-up-at-3am; waking-at-night/waking-up-in-the-middle-of-the-night; waking-at-night/waking-up-too-early; waking-at-night/waking-up-with-anxiety; waking-at-night/why-do-i-wake-up-at-the-same-time-every-night; sleep-products/best-earplugs-for-sleeping-uk; sleep-products/best-sleep-masks-uk,,11,11,waking-at-night/cant-get-back-to-sleep; waking-at-night/waking-up-at-3am; waking-at-night/waking-up-in-the-middle-of-the-night; waking-at-night/waking-up-too-early; waking-at-night/waking-up-with-anxiety; waking-at-night/why-do-i-wake-up-at-the-same-time-every-night; quiet-the-mind; sleep-habits; sleep-products; sleep-questions; about
falling-asleep/bedtime-routine-for-adults,/falling-asleep/bedtime-routine-for-adults/,informational,1,falling-asleep,quiet-the-mind/worry-list-before-bed; sleep-habits/screens-before-bed; relaxation/progressive-muscle-relaxation-for-sleep; falling-asleep/difficulty-falling-asleep; falling-asleep/things-to-do-before-bed; quiet-the-mind/how-to-calm-your-mind-before-bed,sleep-products/best-sleep-masks-uk; sleep-products/weighted-blankets-guide; sleep-products/best-white-noise-machines-uk,6,14,falling-asleep/things-to-do-before-bed; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind/worry-list-before-bed; sleep-habits/screens-before-bed; sleep-habits/sleep-hygiene; falling-asleep
falling-asleep/difficulty-falling-asleep,/falling-asleep/difficulty-falling-asleep/,informational,1,falling-asleep,falling-asleep/how-to-fall-asleep-faster; sleep-habits/how-to-fix-your-sleep-schedule; quiet-the-mind/anxiety-at-night,sleep-products/best-sleep-masks-uk; sleep-products/best-white-noise-machines-uk,3,12,falling-asleep/bedtime-routine-for-adults; sleep-sounds/brown-noise-for-sleep; falling-asleep
falling-asleep/how-to-fall-asleep-faster,/falling-asleep/how-to-fall-asleep-faster/,informational,1,falling-asleep,sleep-habits/caffeine-and-sleep; relaxation/breathing-exercises-for-sleep; sleep-environment/best-temperature-for-sleep; quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/cant-switch-off-at-night,sleep-products/best-sleep-masks-uk; sleep-products/best-white-noise-machines-uk,3,13,falling-asleep/difficulty-falling-asleep; relaxation/4-7-8-breathing; falling-asleep
falling-asleep/things-to-do-before-bed,/falling-asleep/things-to-do-before-bed/,supporting,2,falling-asleep,falling-asleep/bedtime-routine-for-adults,sleep-products/best-sleep-headphones-uk; sleep-products/best-sleep-masks-uk; sleep-products/best-white-noise-machines-uk,3,13,falling-asleep/bedtime-routine-for-adults; quiet-the-mind/worry-list-before-bed; falling-asleep
quiet-the-mind/anxiety-at-night,/quiet-the-mind/anxiety-at-night/,informational,1,quiet-the-mind,waking-at-night/waking-up-with-anxiety; relaxation/breathing-exercises-for-sleep; quiet-the-mind/worry-list-before-bed; quiet-the-mind/racing-thoughts-at-night; sleep-habits/caffeine-and-sleep,sleep-products/best-sleep-headphones-uk; sleep-products/best-white-noise-machines-uk,5,12,falling-asleep/difficulty-falling-asleep; quiet-the-mind/racing-thoughts-at-night; relaxation/4-7-8-breathing; waking-at-night/waking-up-with-anxiety; quiet-the-mind
quiet-the-mind/cant-switch-off-at-night,/quiet-the-mind/cant-switch-off-at-night/,informational,2,quiet-the-mind,sleep-habits/screens-before-bed; quiet-the-mind/worry-list-before-bed; sleep-sounds/white-noise-for-sleep; quiet-the-mind/how-to-calm-your-mind-before-bed; falling-asleep/bedtime-routine-for-adults; sleep-sounds/brown-noise-for-sleep,sleep-products/best-white-noise-machines-uk; sleep-products/best-sleep-headphones-uk,5,15,falling-asleep/how-to-fall-asleep-faster; quiet-the-mind/how-to-calm-your-mind-before-bed; relaxation/progressive-muscle-relaxation-for-sleep; sleep-habits/screens-before-bed; quiet-the-mind
quiet-the-mind/how-to-calm-your-mind-before-bed,/quiet-the-mind/how-to-calm-your-mind-before-bed/,informational,1,quiet-the-mind,quiet-the-mind/worry-list-before-bed; sleep-environment/bedroom-lighting-for-sleep; relaxation/progressive-muscle-relaxation-for-sleep; sleep-sounds/rain-sounds-for-sleep; quiet-the-mind/cant-switch-off-at-night,sleep-products/best-sleep-headphones-uk; sleep-products/weighted-blankets-guide; sleep-products/best-white-noise-machines-uk,3,14,falling-asleep/bedtime-routine-for-adults; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind
quiet-the-mind/how-to-stop-overthinking-at-night,/quiet-the-mind/how-to-stop-overthinking-at-night/,informational,1,quiet-the-mind,quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/worry-list-before-bed; sleep-habits/screens-before-bed; relaxation/4-7-8-breathing,sleep-products/best-sleep-headphones-uk; sleep-products/best-white-noise-machines-uk,3,14,quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/worry-list-before-bed; quiet-the-mind
